            Daily  Hourly data -->
   Date     Total    0   1   2   3   4   5   6   7   8   9  10  11  12  13  14  15  16  17  18  19  20  21  22  23
------------------------------------------------------------------------------------------------------------------
03-DEC-2021     0    0   0   0   0   0   0   0   0   0   0   0   0   0
02-DEC-2021     0    0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
01-DEC-2021     0    0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
30-NOV-2021     2    0   0   0   0   0   0   0   0   0   1   0   0   1   0   0   0   0   0   0   0   0   0   0   0
29-NOV-2021    28    0   1  18   8   0   0   0   1   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
28-NOV-2021     1    0   0   0   0   0   0   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0   0
27-NOV-2021    28    1   0   0   1   0   0   0   1   0   0   1   3   1   2   2   7   8   1   0   0   0   0   0   0
26-NOV-2021     7    3   3   1   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
25-NOV-2021    16    0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   8   4   4
24-NOV-2021     0    0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
23-NOV-2021    15    0   0   1   3   1   0   5   1   1   1   0   1   0   0   0   1   0   0   0   0   0   0   0   0
22-NOV-2021    31    0   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0   0   0   2  14  13   1
21-NOV-2021     0    0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
20-NOV-2021     0    0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
19-NOV-2021    14    0   0   2   3   4   1   4   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
18-NOV-2021    31    0   0   0   0   0   0   0   0   0   0   0   0   0   0   3   3   3   4   9   5   1   2   0   1
17-NOV-2021     1    0   0   0   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0   0   0   0   0
16-NOV-2021     0    0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
15-NOV-2021    17    0   0   0   0   0   0   0   0   0   0   0  10   4   3   0   0   0   0   0   0   0   0   0   0
14-NOV-2021     0    0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
13-NOV-2021     1    0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   1   0   0   0   0   0   0
12-NOV-2021   131    1   5  22  10   4  13   9   5   6   8  14  16   7   4   3   1   0   1   1   0   1   0   0   0
11-NOV-2021   151    0   0   1   0  20  20   1   3   0   0   4   0   1   1   7   5  15  21  24   7   1   6  14   0
10-NOV-2021     7    0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   1   0   0   0   1   2   3
09-NOV-2021    35    7   9   4   2   0   0   0   0   0   0   0   0   0   0   2   1   7   0   0   1   2   0   0   0
08-NOV-2021    13    0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   1   5   7
07-NOV-2021     8    0   0   0   0   0   0   0   0   0   0   0   1   0   0   5   0   1   0   1   0   0   0   0   0
06-NOV-2021    38    0   0   1   4   6   1   9   0   0   1   0   0   0   0   2   0  12   0   0   0   0   0   2   0
05-NOV-2021    21    0   0   0   3   1   8   5   0   0   0   0   0   0   0   0   0   0   0   0   0   0   1   1   2
04-NOV-2021    31    2   0   0   0   0   4   0   0   1   0  10   8   4   2   0   0   0   0   0   0   0   0   0   0
03-NOV-2021    36    0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   4   2   4   5   4  10   7
02-NOV-2021     6    0   0   0   0   0   0   0   0   0   0   0   2   0   1   1   1   1   0   0   0   0   0   0   0
01-NOV-2021    23    0   0   0   0   0   0   0   1   2   3   5   7   4   1   0   0   0   0   0   0   0   0   0   0
31-OCT-2021     0    0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
30-OCT-2021     0    0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
29-OCT-2021    52   13  15  12   4   1   1   4   2   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
28-OCT-2021     5    0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   4   1
27-OCT-2021     4    1   0   0   0   0   0   0   0   0   0   0   0   0   0   1   1   1   0   0   0   0   0   0   0
26-OCT-2021    15    0   0   0   2   0   0   1   1   0   0   0   0   0   0   0   0   0   3   0   0   8   0   0   0
25-OCT-2021    16    0   0   0   0   0   0   0   0   0   0   0   1   4   2   5   0   0   3   0   0   0   0   0   1
24-OCT-2021    34    0   0   2   1   2   1   1   4   5   0   0   2  16   0   0   0   0   0   0   0   0   0   0   0
23-OCT-2021    61    2   4   2   1   0   7  16   2  20   2   0   1   0   0   1   1   0   0   2   0   0   0   0   0
22-OCT-2021    12    1   0   0   0   0   0   0   0   2   0   0   0   1   0   0   6   0   0   0   0   0   0   0   2
21-OCT-2021    90    0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   4  24  20  10  10  11   9   2
20-OCT-2021    21    8   1   0   1   2   7   1   0   0   0   0   0   0   0   0   0   0   1   0   0   0   0   0   0
19-OCT-2021     2    0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   2
18-OCT-2021     0    0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
17-OCT-2021     0    0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
16-OCT-2021     0    0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
15-OCT-2021     1    0   0   0   0   0   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0   0   0
14-OCT-2021     8    0   0   3   1   0   0   0   0   0   1   2   1   0   0   0   0   0   0   0   0   0   0   0   0
13-OCT-2021    11    0   0   0   0   1   0   0   1   0   0   0   1   0   0   0   4   0   0   1   0   1   2   0   0
12-OCT-2021     9    0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   1   1   7   0   0   0   0
11-OCT-2021     1    0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
10-OCT-2021     6    0   0   0   2   0   0   0   0   0   0   0   0   4   0   0   0   0   0   0   0   0   0   0   0
09-OCT-2021     2    0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   2
08-OCT-2021     0    0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
07-OCT-2021     0    0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
06-OCT-2021    15    0   0   0   0   0   0   0   0   0   0   0   0   0  13   2   0   0   0   0   0   0   0   0   0
05-OCT-2021    31    0   0   0   0   0   0   0   0   4   5   6   4   5   5   0   2   0   0   0   0   0   0   0   0
04-OCT-2021     0    0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
03-OCT-2021     0    0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
02-OCT-2021     0    0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
01-OCT-2021     1    1   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
30-SEP-2021     8    0   0   0   0   0   1   0   0   0   0   0   0   3   0   2   2   0   0   0   0   0   0   0   0
29-SEP-2021     0    0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
28-SEP-2021    19    0   0   1   0   0   0   0   0   0   3   5   0   8   1   1   0   0   0   0   0   0   0   0   0
27-SEP-2021    62    0   7   0   7   0   1   6  11   4   3   4   5   0   4   3   0   0   2   0   0   0   0   0   5
